x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
13854.0,372.0,0.026851450844521438,2.16540632876264,98.0,189.0,382.0,724.0,843.0,696.0,841.0,526.0,827.0,663.0,773.0,626.0,716.0,559.0,642.0,689.0,446.0,823.0,641.0,725.0,686.0,739.0
13581.0,402.0,0.02960017671747294,2.1551619381645,111.0,203.0,395.0,652.0,814.0,688.0,797.0,696.0,571.0,628.0,802.0,623.0,772.0,715.0,489.0,680.0,780.0,503.0,613.0,667.0,612.0,770.0
13736.0,387.0,0.028174140943506114,2.14267553064282,136.0,264.0,354.0,706.0,822.0,731.0,765.0,723.0,575.0,906.0,529.0,693.0,723.0,499.0,738.0,660.0,574.0,545.0,727.0,624.0,624.0,818.0
13692.0,394.0,0.028775927548933683,2.14252400384607,170.0,256.0,372.0,726.0,762.0,670.0,799.0,806.0,580.0,903.0,474.0,628.0,801.0,609.0,715.0,676.0,567.0,562.0,655.0,630.0,605.0,726.0
13857.0,419.0,0.030237425128094103,2.1277814749336,108.0,224.0,351.0,800.0,903.0,715.0,806.0,644.0,734.0,863.0,663.0,614.0,787.0,527.0,664.0,664.0,618.0,504.0,702.0,620.0,577.0,769.0
13627.0,389.0,0.028546268437660526,2.1130293818542,136.0,204.0,326.0,760.0,820.0,743.0,848.0,728.0,614.0,752.0,631.0,620.0,774.0,625.0,556.0,754.0,653.0,615.0,637.0,511.0,677.0,643.0
14172.0,432.0,0.03048264182895851,2.10876728160031,159.0,238.0,403.0,712.0,905.0,719.0,829.0,722.0,588.0,831.0,629.0,628.0,861.0,622.0,585.0,759.0,650.0,660.0,688.0,579.0,668.0,737.0
13498.0,448.0,0.0331901022373685,2.10279040206693,132.0,201.0,397.0,701.0,846.0,774.0,839.0,758.0,587.0,759.0,634.0,574.0,762.0,616.0,758.0,520.0,596.0,577.0,648.0,525.0,579.0,715.0
13874.0,416.0,0.02998414300129739,2.09265513503231,121.0,204.0,407.0,818.0,803.0,779.0,845.0,781.0,615.0,808.0,683.0,671.0,805.0,628.0,702.0,544.0,565.0,617.0,606.0,535.0,637.0,700.0
13368.0,429.0,0.03209156193895871,2.08741217224626,117.0,209.0,376.0,753.0,800.0,1076.0,577.0,619.0,833.0,635.0,723.0,714.0,605.0,577.0,668.0,491.0,572.0,648.0,560.0,499.0,615.0,701.0
13647.0,464.0,0.03400014655235583,2.08621115067435,156.0,240.0,367.0,777.0,685.0,1007.0,657.0,664.0,782.0,760.0,652.0,687.0,547.0,681.0,737.0,493.0,538.0,619.0,586.0,565.0,678.0,769.0
13327.0,448.0,0.03361596758460269,2.08577586195494,162.0,190.0,343.0,780.0,759.0,974.0,635.0,779.0,639.0,708.0,568.0,676.0,537.0,618.0,685.0,484.0,596.0,613.0,624.0,555.0,643.0,759.0
13569.0,417.0,0.03073181516692461,2.07617787332598,118.0,173.0,318.0,776.0,794.0,1011.0,678.0,739.0,619.0,733.0,658.0,703.0,626.0,634.0,681.0,539.0,789.0,551.0,576.0,557.0,628.0,668.0
14024.0,477.0,0.03401312036508842,2.06813887878559,140.0,270.0,342.0,755.0,758.0,1017.0,609.0,855.0,649.0,742.0,650.0,780.0,611.0,625.0,776.0,490.0,749.0,556.0,621.0,585.0,739.0,705.0
13778.0,534.0,0.03875743939613877,2.0609418464631,160.0,238.0,397.0,765.0,804.0,962.0,646.0,769.0,565.0,788.0,716.0,620.0,709.0,500.0,783.0,744.0,515.0,500.0,639.0,667.0,527.0,764.0
13689.0,495.0,0.03616042077580539,2.05472240584561,158.0,243.0,408.0,749.0,713.0,838.0,616.0,766.0,668.0,828.0,643.0,607.0,749.0,605.0,654.0,682.0,546.0,704.0,612.0,636.0,552.0,712.0
13443.0,483.0,0.03592948002677974,2.04660153421203,91.0,173.0,305.0,722.0,854.0,783.0,915.0,593.0,890.0,517.0,753.0,735.0,645.0,655.0,639.0,577.0,535.0,616.0,556.0,638.0,550.0,701.0
13736.0,482.0,0.03509027373325568,2.03598864020756,108.0,228.0,369.0,712.0,862.0,861.0,747.0,607.0,873.0,628.0,647.0,808.0,564.0,685.0,677.0,590.0,605.0,657.0,581.0,658.0,624.0,645.0
